"Longitude","Latitude","Date","State","Temp","CO","NO2","SO2","AtmPres"
-119.7462,36.17,"2014-05-26","California",23.06,0.27,4.79,0.54,971.1
-119.7462,36.17,"2014-05-27","California",22.59,0.27,6.59,0.52,971.3
-119.7462,36.17,"2014-05-28","California",20.99,0.27,6.25,0.51,969.92
-119.7462,36.17,"2014-05-29","California",20.69,0.28,7.35,0.52,970.23
-119.7462,36.17,"2014-05-30","California",21.11,0.29,8.14,0.46,969.27
-119.7462,36.17,"2014-05-31","California",20.84,0.29,6.51,0.48,969.66
-119.7462,36.17,"2014-06-01","California",21.61,0.28,5.86,0.61,968.61
-119.7462,36.17,"2014-06-02","California",20.7,0.28,6.64,0.39,967.94
-119.7462,36.17,"2014-06-03","California",20.95,0.29,7.72,0.52,968.18
-119.7462,36.17,"2014-06-04","California",22.07,0.29,8.19,0.53,967.25
-119.7462,36.17,"2014-06-05","California",22.78,0.29,8,0.46,966.24
-119.7462,36.17,"2014-06-06","California",22.27,0.28,6.36,0.47,965.63
-119.7462,36.17,"2014-06-07","California",22.63,0.28,5.18,0.57,965.66
-119.7462,36.17,"2014-06-08","California",23.93,0.28,6,0.7,965.92
-119.7462,36.17,"2014-06-09","California",24.54,0.3,8.32,0.65,965.49
-119.7462,36.17,"2014-06-10","California",23.43,0.28,5.89,0.56,965.53
-119.7462,36.17,"2014-06-11","California",22.33,0.27,5.19,0.44,968.1
-119.7462,36.17,"2014-06-12","California",21.62,0.27,5.43,0.41,969.93
-119.7462,36.17,"2014-06-13","California",21.01,0.27,6.02,0.49,970.9
-119.7462,36.17,"2014-06-14","California",21.06,0.27,5.23,0.46,969.72
-119.7462,36.17,"2014-06-15","California",20.37,0.26,3.44,0.45,967.73
-119.7462,36.17,"2014-06-16","California",19.49,0.26,4.19,0.43,969.25
-119.7462,36.17,"2014-06-17","California",18.58,0.27,5.74,0.52,970.35
-119.7462,36.17,"2014-06-18","California",19.78,0.29,6.75,0.53,971.51
-119.7462,36.17,"2014-06-19","California",22.64,0.3,7.77,0.52,972.25
-119.7462,36.17,"2014-06-20","California",23.74,0.29,8.32,0.65,971.37
-119.7462,36.17,"2014-06-21","California",23.22,0.27,5.58,0.5,969.76
-119.7462,36.17,"2014-06-22","California",22.29,0.26,3.78,0.43,970.2
-119.7462,36.17,"2014-06-23","California",21.86,0.27,5.55,0.48,970.92
-119.7462,36.17,"2014-06-24","California",23.12,0.27,5.94,0.51,971.41
-119.7462,36.17,"2014-06-25","California",22.78,0.26,5.27,0.48,970.5
-119.7462,36.17,"2014-06-26","California",21.83,0.26,4.75,0.47,970.46
-119.7462,36.17,"2014-06-27","California",22.37,0.26,4.46,0.39,970.07
-119.7462,36.17,"2014-06-28","California",22.84,0.26,4.3,0.42,969.88
-119.7462,36.17,"2014-06-29","California",24.69,0.27,4.86,0.57,970.15
-119.7462,36.17,"2014-06-30","California",25.54,0.28,7.03,0.66,968.94
-119.7462,36.17,"2014-07-01","California",24.97,0.27,6.58,0.51,964.06
-119.7462,36.17,"2014-07-02","California",24.54,0.27,6.68,0.46,967.19
-119.7462,36.17,"2014-07-03","California",25.07,0.28,7.22,0.46,966.29
-119.7462,36.17,"2014-07-04","California",25.33,0.28,5.54,0.58,968.61
-119.7462,36.17,"2014-07-05","California",25.68,0.27,5.28,0.51,971.34
-119.7462,36.17,"2014-07-06","California",26.07,0.27,5.1,0.87,969.89
-119.7462,36.17,"2014-07-07","California",25.77,0.27,7.63,0.69,968.57
-119.7462,36.17,"2014-07-08","California",25.39,0.27,6.78,0.51,971.07
